name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Geva, Shlomo",@qut.edu.au,0,1,0,0,0,0,,SIGIR,,,,,M,us,edu
"Ghaderi, Javad",,0,1,0,0,0,0,,SIGMETRICS,,,,,M,NA,NA
"Ghaemmaghami, Tara Vazir",,0,0,0,0,0,1,,,,,,ISCA,NA,NA,NA
"Ghaffari, Mohsen",,0,1,1,0,0,3,,SPAA,SPAA,,,"PODC,PODC,PODC",M,NA,NA
"Ghag, Aditi",,0,0,0,0,0,1,,,,,,CoNEXT,NA,NA,NA
"Ghahremani, Sona",,0,0,0,0,0,1,,,,,,ICAC,F,NA,NA
"Ghanta, Sindhu",MISSING,0,1,0,0,0,0,,HotCloud,,,,,F,NA,NA
"Gharghabi, Shaghayegh",@ucr.edu,0,0,0,0,0,1,,,,,,ICDM,NA,ed,edu
"Ghena, Branden",@berkeley.edu,0,0,0,0,0,1,,,,,,SOSP,NA,us,edu
"Ghimire, Amrita Dhakal",@msstate.edu,0,0,0,0,0,1,,,,,,Cluster,NA,us,edu
"Ghit, Bogdan",@tudelft.nl,0,0,0,0,0,2,,,,,,"ICPE,HPDC",NA,nl,edu
"Ghobadi, Monia",@microsoft.com,0,4,1,0,0,2,,"MASCOTS,SIGCOMM,CoNEXT,IMC",SIGCOMM,,,"NSDI,SIGCOMM",F,NA,com
